lon,lat,chiten
139.75,35.6917,Tokyo
139.3617,34.7483,Ohshima
139.6517,35.4383,Yokohama
139.865,34.9867,Tateyama
140.3117,35.15,Katsuura
140.1033,35.6017,Chiba
140.8567,35.7383,Choshi
140.125,36.0567,Tateno
140.4667,36.38,Mito
139.8683,36.5483,Utsunomiya
139.5,36.7383,Oku-Nikko
139.06,36.405,Maebashi
139.38,36.15,Kumagaya
139.0733,35.9933,Chichibu
138.8417,34.6033,Irouzaki
139.0917,35.045,Ajiro
138.925,35.1133,Mishima
138.4033,34.975,Shizuoka
138.7267,35.36,Fujisan
138.76,35.5,Kawaguchiko
138.5533,35.6667,Kofu
138.5467,36.3417,Karuizawa
140.215,37.1317,Shirakawa
140.9033,36.9467,Onahama
